hotel,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,is_canceled
Resort Hotel,21,November,46,12,0,3,2,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,D,2,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,0
City Hotel,54,April,14,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,1
City Hotel,103,April,17,19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,0,Transient,115.0,0,0,1
Resort Hotel,100,August,34,20,4,7,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,251.73,0,0,1
City Hotel,59,March,12,19,2,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.5,0,1,0
Resort Hotel,59,December,52,23,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,103.0,0,1,1
Resort Hotel,1,January,5,29,1,0,2,0.0,0,BB,ARG,Direct,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,64.0,1,1,0
City Hotel,594,February,8,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,1
City Hotel,372,July,29,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,1
Resort Hotel,113,April,18,28,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,86.38,0,0,0
City Hotel,92,March,11,15,0,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,85.0,0,0,1
City Hotel,49,March,13,29,0,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,85.0,,0,Transient,98.1,0,0,0
City Hotel,102,April,17,24,1,3,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,424.0,0,Transient-Party,90.0,0,0,0
Resort Hotel,66,January,5,29,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,29.0,0,0,0
City Hotel,58,March,14,28,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.85,0,1,1
Resort Hotel,1,July,29,15,0,2,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,E,0,No Deposit,,425.0,0,Transient,147.6,0,0,0
City Hotel,1,August,35,25,0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Contract,156.0,0,2,0
City Hotel,149,June,26,27,0,4,2,0.0,0,HB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,162.0,0,0,0
City Hotel,188,November,48,21,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,61.88,0,0,0
City Hotel,200,March,11,17,1,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,2,1
City Hotel,21,August,35,24,0,1,2,1.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,146.5,0,2,0
City Hotel,130,September,40,29,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,139.5,0,2,0
City Hotel,117,February,10,29,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,44,Transient,75.0,0,0,1
Resort Hotel,0,April,17,22,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,80.0,0,1,0
City Hotel,33,January,3,17,0,2,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,1,No Deposit,19.0,,0,Transient-Party,75.0,0,0,0
City Hotel,5,August,34,17,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.0,0,2,0
City Hotel,126,April,16,14,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,39,Transient,65.0,0,0,1
Resort Hotel,139,May,22,29,1,2,2,0.0,0,FB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,436.0,,0,Transient,128.7,0,0,0
City Hotel,87,April,15,12,0,3,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.0,0,0,0
Resort Hotel,146,June,24,15,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,142.0,1,1,0
City Hotel,355,October,41,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,1
City Hotel,28,August,36,28,2,4,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.37,0,1,1
Resort Hotel,37,March,12,16,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,26.1,0,0,0
Resort Hotel,268,June,26,28,0,4,2,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,112.22,0,0,0
Resort Hotel,113,May,19,7,4,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,147.0,,0,Transient,78.94,0,1,0
City Hotel,36,November,46,11,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.0,0,3,1
City Hotel,233,September,38,18,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,120.0,0,0,1
City Hotel,212,July,28,14,1,2,2,1.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,3,0
Resort Hotel,229,May,19,1,2,4,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,314.0,,0,Transient,70.4,0,1,0
City Hotel,50,October,43,16,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,2,0
City Hotel,21,March,9,1,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1,0
City Hotel,86,August,32,8,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,145.0,0,2,1
Resort Hotel,169,March,14,31,1,3,2,0.0,0,BB,NLD,Groups,Direct,0,0,0,A,A,0,Refundable,,223.0,0,Transient-Party,78.0,2,0,0
Resort Hotel,22,August,34,20,2,5,2,1.0,0,FB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,247.0,0,1,0
City Hotel,37,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,105.0,0,0,1
Resort Hotel,109,August,33,9,2,5,2,0.0,0,HB,,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,105.0,,0,Transient,172.38,0,0,0
Resort Hotel,57,October,43,16,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,68.0,0,2,0
City Hotel,1,January,3,17,0,1,1,0.0,0,BB,AUT,Aviation,Corporate,1,0,1,A,A,0,No Deposit,,153.0,0,Transient,79.0,0,0,0
Resort Hotel,150,June,23,4,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,73.71,0,2,0
City Hotel,98,November,48,23,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,2,No Deposit,37.0,,0,Transient-Party,75.0,0,0,1
City Hotel,122,May,19,5,2,4,0,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,E,K,3,No Deposit,11.0,,0,Transient,50.87,0,0,0
City Hotel,38,June,26,20,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.9,0,2,0
Resort Hotel,313,May,21,27,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,59.79,0,1,1
Resort Hotel,8,February,5,4,0,1,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,40.5,0,0,0
City Hotel,7,May,23,31,0,1,1,0.0,0,BB,PRT,Complementary,Corporate,1,0,6,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,1,0
City Hotel,258,October,43,16,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,0,Transient,110.0,0,0,1
City Hotel,174,October,41,10,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0,1
Resort Hotel,287,August,35,25,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,D,D,0,Non Refund,,,0,Transient,128.0,0,0,1
City Hotel,37,October,42,13,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,95.0,0,0,1
Resort Hotel,14,August,35,22,1,3,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,245.1,0,0,0
City Hotel,0,June,26,29,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,170.0,0,1,0
City Hotel,11,March,10,6,1,4,2,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,102.0,0,0,0
Resort Hotel,167,June,26,21,1,5,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,1,0,0
City Hotel,69,September,37,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,0
City Hotel,12,January,2,14,2,2,2,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,82.88,0,0,1
Resort Hotel,11,January,3,15,0,2,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,71.2,0,0,0
Resort Hotel,168,August,33,11,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,2.0,,0,Contract,104.55,0,0,0
City Hotel,137,March,10,6,1,1,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,80.0,0,1,0
City Hotel,19,September,38,15,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,2,0
City Hotel,83,September,40,28,0,1,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,112.59,0,2,0
City Hotel,206,March,13,26,2,1,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296.0,,0,Transient-Party,72.0,0,0,0
City Hotel,41,May,20,16,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,F,0,No Deposit,,174.0,0,Transient,95.0,0,0,0
Resort Hotel,8,September,39,25,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,142.5,1,1,0
Resort Hotel,20,February,8,23,2,5,2,0.0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,464.0,,0,Transient,66.0,0,0,0
City Hotel,4,August,32,1,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,221.0,0,Transient,79.0,0,0,0
City Hotel,11,May,19,9,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,290.0,148.0,0,Transient,95.0,0,1,0
City Hotel,71,June,25,14,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0,1
City Hotel,225,April,15,15,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0,1
City Hotel,102,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,0
Resort Hotel,1,May,18,6,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,72.5,0,2,0
City Hotel,233,August,36,29,1,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0,1
City Hotel,0,May,21,17,0,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,0,0,A,A,0,No Deposit,6.0,,0,Transient,0.0,0,0,0
City Hotel,43,April,15,11,0,2,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,2,0
City Hotel,258,September,37,8,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,41,Transient,65.0,0,0,1
City Hotel,12,February,7,13,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,125.0,0,1,0
City Hotel,131,June,26,19,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient-Party,80.75,0,0,1
Resort Hotel,4,December,50,4,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,66.0,1,0,0
City Hotel,1,September,36,3,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,105.0,0,0,0
Resort Hotel,159,January,5,25,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,38.86,0,1,0
City Hotel,1,April,17,27,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,166.5,0,2,1
City Hotel,311,August,35,24,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,1
City Hotel,122,August,34,20,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,98.0,,0,Transient-Party,115.0,0,0,0
Resort Hotel,164,July,29,16,4,10,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,165.0,0,2,1
City Hotel,11,December,49,2,0,2,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.5,0,0,1
Resort Hotel,30,May,23,30,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,93.67,1,1,0
City Hotel,136,July,29,17,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient,60.0,0,0,1
City Hotel,14,December,53,28,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.0,0,1,1
Resort Hotel,185,June,25,18,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,,0,Transient,62.95,0,1,0
City Hotel,305,November,45,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,89.0,0,0,1
City Hotel,3,February,6,6,0,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.0,0,1,0
City Hotel,83,October,42,10,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,0,1
City Hotel,0,October,42,13,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,0,0
City Hotel,7,April,18,24,1,0,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,2,0
Resort Hotel,191,August,35,31,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,114.8,0,0,0
Resort Hotel,9,February,5,2,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,467.0,,0,Transient,34.56,0,0,0
City Hotel,49,February,8,20,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.1,0,1,0
City Hotel,246,May,21,27,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,128.0,0,1,0
City Hotel,41,October,44,26,0,2,1,0.0,0,BB,ESP,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,123.5,0,0,0
Resort Hotel,16,December,50,8,0,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient-Party,71.0,1,0,0
Resort Hotel,222,September,39,20,4,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Contract,48.88,0,1,0
City Hotel,49,March,10,4,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient,65.0,0,0,0
City Hotel,150,October,41,3,1,2,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,0,1
